Location,Employer Only,Non-group Only,Medicaid and Private Insurance,Medicaid and Medicare,Medicaid Only,Medicare and Private Insurance,Medicare Only,Military,Uninsured,Total,Footnotes,Year
Delaware,468600,30900.0,17500.0,26500,128800,78700,41000,9700.0,78300,880100,,2011
District of Columbia,309600,28800.0,17100.0,24600,113900,29800,10400,4900.0,44700,583900,,2011
Florida,7388300,1074800.0,187800.0,685200,2199100,1612400,1243800,339600.0,3883300,18614200,,2011
Georgia,4467300,443600.0,118800.0,270400,1170000,561200,378200,238300.0,1869600,9517400,,2011
Hawaii,735200,50700.0,25800.0,37600,130800,111100,49300,76400.0,95000,1311900,,2011
Idaho,735800,126900.0,30100.0,40500,157500,123600,57100,32600.0,243200,1547300,,2011
Illinois,6593400,595900.0,174900.0,294100,1786100,897700,502600,84600.0,1624400,12553800,,2011
Indiana,3329200,253200.0,93400.0,152400,729400,507700,269400,61200.0,921200,6317100,,2011
Iowa,1647500,190700.0,73000.0,93700,288700,272800,104300,26300.0,266600,2963800,,2011
Kansas,1489400,172600.0,43300.0,74200,248500,222300,100300,68500.0,353000,2772200,,2011
Kentucky,1989600,183800.0,58300.0,173500,578800,345400,207500,76100.0,614900,4227900,,2011
Louisiana,1918500,232000.0,82700.0,167900,695700,265100,215900,74800.0,778600,4431200,,2011
Maine,613800,53000.0,25100.0,71100,191600,118100,54400,20600.0,144400,1292200,,2011
Maryland,3284900,292500.0,77900.0,139400,603900,414000,176300,97400.0,582300,5668600,,2011
Massachusetts,3685400,308900.0,152800.0,243300,975400,480300,213300,35200.0,265900,6360600,,2011
Michigan,4861700,432900.0,205000.0,330300,1370400,938900,308200,61500.0,1146200,9655100,,2011
Minnesota,3020400,341400.0,80000.0,112400,560000,441200,168900,43500.0,454600,5222300,,2011
Mississippi,1171500,134200.0,45000.0,143900,491100,185100,142800,57000.0,507800,2878500,,2011
Missouri,2973000,316500.0,66100.0,177300,622600,478500,289800,102100.0,797400,5823500,,2011
Montana,438600,72700.0,10600.0,28700,84100,90900,45400,18400.0,182200,971600,,2011
Nebraska,945200,149700.0,21300.0,44200,156200,145200,65500,41200.0,213800,1782300,,2011
Nevada,1300300,111900.0,42800.0,60500,219400,160900,134100,58400.0,587400,2675800,,2011
New Hampshire,776100,55100.0,14900.0,33000,91800,107600,57400,13400.0,128900,1278200,,2011
New Jersey,4972900,342900.0,98600.0,231000,849000,622000,361700,37400.0,1123300,8638700,,2011
New Mexico,775900,84300.0,36800.0,70600,377900,139300,99900,44900.0,406900,2036500,,2011
New York,9607300,758100.0,386200.0,713600,3147400,1277400,773900,95700.0,2180800,18940500,,2011
North Carolina,4235000,535600.0,125000.0,287600,1215900,718000,431700,268300.0,1536000,9353100,,2011
North Dakota,354900,71100.0,10700.0,11500,44800,67000,20000,12200.0,65100,657100,,2011
Ohio,5944500,470700.0,182700.0,290900,1382800,962100,516600,112100.0,1362300,11224600,,2011
Oklahoma,1640600,155400.0,53600.0,101100,461100,293600,185200,90300.0,683700,3664800,,2011
Oregon,1789900,248300.0,59200.0,103100,465000,328700,163500,44000.0,591700,3793500,,2011
Pennsylvania,6545100,634200.0,254100.0,420200,1421800,1187200,507400,98700.0,1249600,12318300,,2011
Rhode Island,539900,39400.0,29100.0,42200,111500,80700,43600,10000.0,111000,1007400,,2011
South Carolina,2029800,201400.0,57700.0,156000,580200,365700,243400,121900.0,763300,4519500,,2011
South Dakota,397600,70700.0,13700.0,19800,71700,70900,37800,17200.0,92000,791400,,2011
