Location,Employer Only,Non-group Only,Medicaid and Private Insurance,Medicaid and Medicare,Medicaid Only,Medicare and Private Insurance,Medicare Only,Military,Uninsured,Total,Footnotes,Year
Alaska,339800,24700.0,21600.0,21900,105900,43600,26600,37100.0,80500,701700,,2019
Arizona,3202000,366500.0,129900.0,231500,1128200,593100,552100,105600.0,789100,7098000,,2019
Arkansas,1226300,157300.0,57000.0,127400,582700,237200,227000,41800.0,265800,2922500,,2019
California,18538700,2569600.0,742300.0,1510500,7537300,2235600,2153200,350200.0,3005400,38642700,,2019
Colorado,2997100,389900.0,83200.0,138200,720900,386200,332300,127200.0,436700,5611800,,2019
Connecticut,1827200,165900.0,65000.0,129700,549200,283000,204900,23900.0,204500,3453300,,2019
Delaware,467700,38900.0,24100.0,32300,135000,108900,53700,17300.0,62500,940300,,2019
District of Columbia,368400,43400.0,15200.0,30900,125000,37000,18300,9000.0,24200,671300,,2019
Florida,8454200,1995300.0,277200.0,890200,2475800,1848500,1927500,366300.0,2757000,20992000,,2019
Georgia,5037600,575200.0,163900.0,352200,1261600,690800,605500,228300.0,1379000,10294000,,2019
Hawaii,729900,54700.0,28500.0,41000,167300,147200,65900,54000.0,54500,1343000,,2019
Idaho,858100,150100.0,35300.0,46800,190500,156800,106100,23700.0,183600,1750900,,2019
Illinois,6743800,637800.0,163100.0,310400,1776600,999400,742000,83200.0,905900,12362300,,2019
Indiana,3473000,284100.0,109100.0,188000,855800,549000,416800,65900.0,570100,6511800,,2019
Iowa,1664600,150100.0,67800.0,88000,440600,303000,174900,26800.0,144400,3060200,,2019
Kansas,1527000,158800.0,47800.0,71200,270500,270500,150700,55300.0,259300,2811200,,2019
Kentucky,2028200,169600.0,84600.0,187500,829200,383900,300400,60200.0,275700,4319300,,2019
Louisiana,1882500,219500.0,90900.0,195900,1030000,297800,320700,61100.0,400200,4498600,,2019
Maine,605600,74000.0,32000.0,74000,153900,138200,99700,19900.0,105000,1302300,,2019
Maryland,3213800,319600.0,102800.0,178200,820400,524800,254800,114100.0,347100,5875500,,2019
Massachusetts,3716400,359400.0,171800.0,285700,1010900,563000,309100,32300.0,202300,6650800,,2019
Michigan,4968100,511700.0,223800.0,368300,1523200,1079800,473500,55500.0,561600,9765600,,2019
Minnesota,3186600,284500.0,114400.0,118700,699700,554200,255100,36500.0,265000,5514800,,2019
Mississippi,1209700,135500.0,47000.0,150300,495900,207800,199300,51500.0,370300,2867100,,2019
Missouri,3089700,341500.0,75500.0,167600,611000,534500,440700,79200.0,600100,5939900,,2019
Montana,446600,83600.0,24200.0,31900,160600,106300,81400,18300.0,86600,1039400,,2019
Nebraska,1064200,128500.0,31000.0,49600,155000,155000,111300,30700.0,148300,1873600,,2019
Nevada,1498600,167800.0,41500.0,85000,412100,192400,230800,52400.0,349000,3029700,,2019
New Hampshire,738900,70100.0,15400.0,26300,131000,145200,87100,15300.0,84600,1314000,,2019
New Jersey,4844600,471000.0,120600.0,250800,1075200,689300,512400,45100.0,690300,8699400,,2019
New Mexico,748000,82500.0,62800.0,100200,504300,163000,143800,36300.0,200500,2041400,,2019
New York,9423800,1094500.0,474700.0,870500,3507400,1462800,992800,81700.0,1000100,18908300,,2019
North Carolina,4692000,675300.0,166100.0,333300,1313700,894900,658200,246900.0,1159300,10139700,,2019
North Dakota,406900,65500.0,14400.0,17200,57400,69400,31100,15100.0,54000,731000,,2019
Ohio,5973000,454200.0,207500.0,320000,1746600,1041900,762500,85900.0,760000,11351500,,2019
Oklahoma,1742700,209300.0,61500.0,108400,481700,325300,251600,75600.0,571000,3826900,,2019
Oregon,2037300,235300.0,96800.0,133000,628200,382100,285600,37100.0,293500,4128900,,2019
Pennsylvania,6413400,636800.0,292400.0,461000,1752700,1298800,716300,97100.0,709100,12377600,,2019
Rhode Island,549100,59600.0,32500.0,45900,130500,83400,64800,8000.0,43400,1017100,,2019
South Carolina,2264600,302200.0,94400.0,175400,666000,489600,345300,107400.0,539300,4984200,,2019
South Dakota,438000,70300.0,12100.0,20700,76100,76400,60400,15600.0,81500,851300,,2019
Tennessee,3177400,374800.0,128100.0,225000,940400,540200,455600,122700.0,676800,6640900,,2019
Texas,13461200,1603200.0,338200.0,755400,3396400,1496900,1572800,455100.0,5207000,28286200,,2019
Utah,1909100,294300.0,48100.0,52500,191700,181300,134100,39300.0,303700,3154100,,2019
Vermont,289600,29000.0,15100.0,26000,101800,66900,37500,5700.0,26600,598100,,2019
Virginia,4429500,423400.0,98600.0,182500,826400,759300,448700,361700.0,654900,8185100,,2019
Washington,3928300,373400.0,151600.0,207600,1109500,630800,398400,135300.0,488900,7423900,,2019
West Virginia,764600,43800.0,39400.0,84200,338900,204300,126200,23000.0,114500,1739000,,2019
Wisconsin,3209400,299400.0,105500.0,181700,624300,543600,339000,47200.0,327000,5677100,,2019
Wyoming,287700,39900.0,6300.0,13200,45400,54200,36700,10200.0,69000,562700,,2019
Puerto Rico,747900,250000.0,32300.0,357400,1066300,137900,308800,16000.0,248000,3164500,,2019
Alabama,2281400,293700.0,97800.0,185500,657900,433700,358300,102900.0,489600,4900800,,2021
Alaska,302500,29000.0,29500.0,18900,131200,42800,32100,37000.0,75700,698700,,2021
Arizona,3197100,385500.0,176800.0,215500,1125000,590100,558500,108500.0,750200,7107300,,2021
Arkansas,1205800,163700.0,66600.0,129000,598300,232200,226500,45000.0,269300,2936400,,2021
California,18023400,2687400.0,991500.0,1522400,7649600,2197500,2290900,312300.0,2704300,38379200,,2021
Colorado,2905400,394100.0,131200.0,151400,766100,379500,361900,123500.0,451000,5664200,,2021
Connecticut,1817000,193400.0,73800.0,142700,576300,261600,232800,24300.0,179600,3501500,,2021
Delaware,474900,60300.0,27200.0,29600,143400,114500,56900,11600.0,55700,974100,,2021
District of Columbia,357200,34200.0,10500.0,27800,119600,35000,18500,7300.0,23300,633400,,2021
Florida,8522900,2219600.0,410000.0,865200,2511800,1778600,2041700,366800.0,2588100,21304700,,2021
Georgia,5057400,638500.0,214300.0,344500,1328000,689300,646300,226900.0,1333100,10478300,,2021
Hawaii,696500,60800.0,49500.0,40300,188200,149000,70600,60400.0,49800,1365100,,2021
Idaho,893700,123500.0,55800.0,56600,263200,155500,123300,34000.0,159400,1865000,,2021
Illinois,6580700,641000.0,239700.0,343800,1862500,973900,794300,81500.0,851500,12368800,,2021
Indiana,3466900,297900.0,160200.0,196500,948300,533600,444600,59100.0,494100,6601300,,2021
Iowa,1648500,163400.0,89300.0,96300,433400,284200,199700,25600.0,152800,3093200,,2021
Kansas,1507100,169700.0,59200.0,79700,293500,245000,174100,52600.0,262300,2843100,,2021
Kentucky,1944500,188200.0,133300.0,177500,950900,376900,297400,52400.0,244400,4365500,,2021
Louisiana,1822500,212600.0,118100.0,229700,1086400,286700,321600,65700.0,337000,4480200,,2021
Maine,650700,88000.0,31500.0,71300,157600,137700,109800,18100.0,72200,1336900,,2021
Maryland,3175800,336500.0,152200.0,180800,881500,535600,254100,111800.0,364000,5992100,,2021
Massachusetts,3686800,402100.0,222300.0,285400,1056800,559400,341000,24600.0,165600,6744100,,2021
Michigan,4923800,477300.0,278900.0,391800,1646700,1057600,509300,53800.0,502600,9841800,,2021
Minnesota,3119600,305200.0,151300.0,120600,761300,577000,275100,35800.0,239200,5585100,,2021
Mississippi,1200600,156100.0,57900.0,153200,473800,204100,209700,55800.0,339300,2850600,,2021
Missouri,3118100,370100.0,114200.0,157300,610500,491600,490000,78500.0,557100,5987500,,2021
Montana,469100,90000.0,19700.0,39700,153400,107400,82000,26500.0,86000,1073800,,2021
Nebraska,1055400,127500.0,44500.0,47400,192700,153600,117500,34100.0,134400,1907000,,2021
Nevada,1431000,185200.0,76500.0,92700,473200,192300,242300,45600.0,351500,3090300,,2021
New Hampshire,776500,67400.0,21600.0,30100,130400,142600,95000,16200.0,66900,1346700,,2021
New Jersey,4960500,519300.0,167100.0,269900,1232300,698900,551400,35000.0,650700,9085100,,2021
New Mexico,701700,90900.0,65300.0,94600,549200,169800,152700,33100.0,205800,2063100,,2021
New York,9198700,1135600.0,591800.0,904100,3837800,1472300,1088400,67900.0,1013200,19309800,,2021
North Carolina,4697600,707200.0,214600.0,345600,1354800,868000,710800,253600.0,1059400,10211700,,2021
North Dakota,426300,58900.0,12600.0,13300,46900,69000,37600,20300.0,56800,741600,,2021
Ohio,5807000,505300.0,270100.0,344400,1862500,983200,844500,95600.0,743100,11455700,,2021
Oklahoma,1657100,212300.0,100700.0,106300,567600,329600,266600,87100.0,531300,3858600,,2021
Oregon,1968400,231800.0,132800.0,138100,720800,374400,306300,36800.0,254000,4163500,,2021
Pennsylvania,6478700,670400.0,384700.0,452300,1778300,1251900,798200,68600.0,681000,12564000,,2021
Rhode Island,530700,59300.0,31400.0,45500,174100,85500,73100,5500.0,45100,1050300,,2021
South Carolina,2214900,341900.0,105000.0,185100,724200,478400,377600,108800.0,504700,5040600,,2021
South Dakota,430400,75700.0,15000.0,22100,82300,79300,54800,23100.0,81200,863800,,2021
Tennessee,3232400,405400.0,193000.0,250600,890400,530400,491700,115900.0,686300,6796100,,2021
Texas,13309700,1736300.0,502400.0,760000,3626300,1520100,1678100,509900.0,5202500,28845300,,2021
Utah,1946800,296400.0,71400.0,62700,227900,173600,160500,42700.0,299700,3281800,,2021
Vermont,299300,33100.0,14100.0,30400,108200,66300,43000,,20700,619700,,2021
Virginia,4480200,395600.0,157300.0,190600,938600,732300,507800,336400.0,566300,8305000,,2021
Washington,3908800,381900.0,219000.0,221600,1144900,613600,429300,144000.0,489100,7552200,,2021
West Virginia,737100,56200.0,50900.0,81900,354800,203300,125000,16800.0,107000,1733000,,2021
Wisconsin,3132100,306400.0,142000.0,186800,713700,539000,381400,44600.0,308400,5754400,,2021
Wyoming,279000,47700.0,13000.0,14200,37700,54000,41100,11700.0,65000,563500,,2021
Puerto Rico,737200,280800.0,42200.0,354600,1120600,139500,353300,18400.0,186300,3233000,,2021
Alabama,2274100,293500.0,120000.0,201600,702000,431700,371800,99900.0,421400,4916000,,2022
Alaska,325000,34000.0,27100.0,18500,113900,50000,29400,26100.0,74700,698600,,2022
Arizona,3273400,412400.0,163600.0,222500,1106600,577400,584200,105800.0,743700,7189700,,2022
Arkansas,1212700,162900.0,82600.0,125700,602000,238200,238100,39300.0,251300,2952900,,2022
California,17951800,2641000.0,1003300.0,1575400,7650100,2211400,2365800,310400.0,2477900,38187000,,2022
Colorado,2998800,388600.0,124600.0,143200,766200,381200,380100,112900.0,399600,5695100,,2022
Connecticut,1842300,182200.0,80400.0,147100,557000,252300,247000,17600.0,180700,3506600,,2022
Delaware,498300,53700.0,23700.0,28600,139600,119100,63000,10200.0,54600,990700,,2022
District of Columbia,367800,36500.0,10600.0,29200,114200,32700,21600,7400.0,18600,638600,,2022
Florida,8743700,2366700.0,347600.0,871100,2627500,1812600,2127400,374100.0,2422900,21693500,,2022
Georgia,5120900,717200.0,230900.0,351800,1361700,683900,692800,210400.0,1240200,10609800,,2022
Hawaii,679100,72000.0,37400.0,41800,189900,156800,75700,67000.0,49700,1369500,,2022
Idaho,896300,138200.0,62700.0,61200,261300,154600,130600,26400.0,154000,1885200,,2022
Illinois,6526500,636300.0,229500.0,371200,1874700,955700,816600,70600.0,815100,12296100,,2022
Indiana,3460700,316900.0,151400.0,206800,1001400,521300,475300,53400.0,452000,6639400,,2022
Iowa,1656500,163000.0,107800.0,102600,429300,292000,202100,21600.0,126000,3101000,,2022
Kansas,1517600,186700.0,56900.0,76600,270300,242300,184700,57000.0,246300,2838500,,2022
Kentucky,2004400,163000.0,122800.0,180200,933600,372100,312100,51200.0,237700,4377200,,2022
Louisiana,1805300,216700.0,146600.0,213700,1082900,307600,314500,61200.0,303000,4451600,,2022
Maine,632700,83800.0,31200.0,68300,165400,137100,116100,25300.0,88100,1348100,,2022
Maryland,3240200,323700.0,136400.0,197400,856500,533400,272800,91800.0,358900,6011200,,2022
Massachusetts,3673400,375100.0,200500.0,306400,1085800,555900,369800,27400.0,163600,6757900,,2022
Michigan,4935000,506800.0,303800.0,367000,1615900,1025200,563500,54000.0,453200,9824500,,2022
Minnesota,3125000,299500.0,144000.0,122800,758100,577200,286400,45100.0,242300,5600400,,2022
Mississippi,1201200,179000.0,68800.0,157000,455000,207700,204900,49400.0,305900,2828900,,2022
Missouri,3098400,355300.0,111700.0,175700,671800,485000,511500,80200.0,500400,5990000,,2022
Montana,475000,84400.0,23200.0,34800,174400,104200,88100,20600.0,88800,1093400,,2022
Nebraska,1031200,141300.0,42200.0,51000,207000,148400,128400,34800.0,129300,1913700,,2022
Nevada,1456200,166800.0,73000.0,97800,475500,200400,248400,59600.0,347700,3125400,,2022
New Hampshire,758900,88600.0,17800.0,34400,129300,144000,108800,15200.0,61400,1358400,,2022
New Jersey,4963900,511400.0,172100.0,284500,1219500,697300,579000,40400.0,623300,9091400,,2022
New Mexico,741600,85900.0,62800.0,104300,521200,159200,165800,45000.0,171800,2057700,,2022
New York,9045200,1067800.0,603000.0,980000,3883700,1457900,1119700,74500.0,930000,19161800,,2022
North Carolina,4811900,762000.0,214000.0,341100,1366500,868600,752900,249500.0,973700,10340200,,2022
North Dakota,421100,57800.0,13200.0,13500,63000,71800,38000,16500.0,49200,744000,,2022
Ohio,5891400,509700.0,276100.0,357800,1802500,985200,878300,87300.0,667400,11455600,,2022
Oklahoma,1678300,221400.0,95300.0,104900,649800,311600,280200,77000.0,463300,3881900,,2022
Oregon,1990500,242400.0,141000.0,156600,669700,361100,317400,29100.0,251600,4159500,,2022
Pennsylvania,6392700,627800.0,412400.0,494800,1784700,1208600,874300,76300.0,672800,12544400,,2022
Rhode Island,538100,68000.0,27800.0,46300,156400,84300,77300,7300.0,43300,1048800,,2022
South Carolina,2303500,346900.0,117700.0,188300,693400,493100,395900,116700.0,461800,5117400,,2022
South Dakota,452000,66600.0,14100.0,24400,78400,73800,68600,25800.0,69700,873400,,2022
Tennessee,3311000,452200.0,159700.0,229800,917300,524300,511300,122100.0,648200,6875900,,2022
Texas,13854500,1963800.0,511000.0,772600,3635700,1503800,1746300,466500.0,4868100,29322500,,2022
Utah,1994400,325100.0,64200.0,57300,231200,179700,164700,37300.0,267700,3321500,,2022
Vermont,299800,35500.0,13300.0,25000,102200,71700,46600,5800.0,24500,624300,,2022
Virginia,4417500,394100.0,160700.0,191300,1038300,736100,519700,328400.0,546900,8332800,,2022
Washington,3978100,399600.0,213600.0,238300,1119200,598600,471700,128200.0,455000,7602300,,2022
West Virginia,741000,50100.0,47900.0,85300,351600,187900,136100,18200.0,100800,1718800,,2022
Wisconsin,3125400,293400.0,149600.0,192300,695300,538500,418600,34500.0,310100,5757500,,2022
Wyoming,283700,42400.0,7500.0,15600,42100,51800,45000,11500.0,65700,565300,,2022
Puerto Rico,725100,287500.0,39800.0,349400,1099600,139100,371200,16500.0,162200,3190400,,2022
Alabama,2291200,306100.0,113600.0,208000,701600,432300,372400,103200.0,416700,4945200,,2023
Alaska,306900,37800.0,24200.0,22000,114600,52400,27800,41300.0,73300,700500,,2023
Arizona,3379200,383200.0,154000.0,246600,1082300,574100,619200,100600.0,713800,7252900,,2023
Arkansas,1260700,170400.0,68400.0,119200,563400,229400,245300,43800.0,272900,2973600,,2023
California,17932200,2509800.0,937800.0,1626300,7795400,2184800,2405600,311200.0,2435100,38138100,,2023
Colorado,2987500,389900.0,134700.0,149700,787200,362900,415200,115000.0,382500,5724600,,2023
Connecticut,1804200,175400.0,71600.0,155800,571200,252400,266800,21800.0,195500,3514700,,2023
Delaware,480300,41900.0,30400.0,34700,151700,114400,72800,8400.0,68300,1002900,,2023
District of Columbia,380300,27900.0,,28500,120600,33900,18000,5400.0,17500,646000,,2023
Florida,8946200,2456600.0,384000.0,906100,2617200,1803700,2193700,411000.0,2357500,22076000,,2023
Georgia,5083500,785300.0,236800.0,373900,1406400,661400,717600,235700.0,1219600,10720100,,2023
Hawaii,682800,65200.0,46000.0,45100,196000,156900,75300,60500.0,38400,1366300,,2023
Idaho,925300,131800.0,57400.0,50300,242700,158400,142800,28600.0,172800,1910000,,2023
Illinois,6609900,617000.0,237700.0,365200,1790600,946500,858100,75000.0,752700,12252700,,2023
Indiana,3455700,316600.0,158800.0,213600,1016500,515000,482600,54000.0,450700,6663600,,2023
Iowa,1640900,151600.0,100000.0,106000,429800,275700,221500,24100.0,156600,3106200,,2023
Kansas,1516500,181300.0,61600.0,72800,273900,247800,191800,52400.0,237700,2835800,,2023
Kentucky,2025400,155500.0,119800.0,178800,927900,358300,325300,55000.0,247600,4393500,,2023
Louisiana,1811800,199300.0,137800.0,215600,1074700,316000,314000,52900.0,308500,4430700,,2023
Maine,628700,83800.0,33600.0,74100,182700,127400,127300,16000.0,82100,1355600,,2023
Maryland,3241400,340300.0,122900.0,192500,821900,530300,288400,96000.0,380900,6014600,,2023
Massachusetts,3701000,360000.0,199700.0,321900,1074400,562200,351200,27600.0,177500,6775600,,2023
Michigan,4892300,481400.0,311800.0,393200,1646900,1021600,590100,51200.0,433300,9821800,,2023
Minnesota,3169800,286800.0,148600.0,133600,745200,552000,316200,37600.0,225100,5614900,,2023
Mississippi,1211200,185300.0,56200.0,141600,466700,207700,216200,52400.0,296200,2833500,,2023
Missouri,3085200,320000.0,111500.0,172700,777900,471500,545600,81700.0,449700,6016000,,2023
Montana,462800,86000.0,28600.0,31400,179200,110200,90100,23600.0,93600,1105600,,2023
Nebraska,1020000,144100.0,50900.0,51700,221700,154800,130700,28800.0,121800,1924500,,2023
Nevada,1467000,173900.0,103700.0,92800,451200,206800,257700,51200.0,335100,3139600,,2023
New Hampshire,754000,93400.0,24000.0,31200,127500,146300,111400,11500.0,62300,1361400,,2023
New Jersey,4929500,515700.0,158700.0,278200,1269000,693700,596200,30400.0,652700,9124100,,2023
New Mexico,714200,86200.0,82000.0,104700,520000,174900,161000,34500.0,184800,2062400,,2023
New York,8944900,1042300.0,617100.0,1058800,3802300,1449800,1143700,68300.0,921200,19048400,,2023
North Carolina,4873900,754200.0,229100.0,368300,1404600,843300,793700,251200.0,965200,10483400,,2023
North Dakota,428600,56700.0,13700.0,18800,62700,72000,41100,19600.0,31300,744500,,2023
Ohio,5846900,502300.0,257000.0,377700,1818100,949000,921300,94700.0,697600,11464600,,2023
Oklahoma,1693800,214300.0,94900.0,116600,678500,309000,287500,78100.0,445100,3917700,,2023
Oregon,2001400,230100.0,129600.0,169000,688600,354900,322400,34400.0,226000,4156400,,2023
Pennsylvania,6296400,661200.0,366600.0,478100,1839600,1203900,924600,79800.0,677600,12527800,,2023
Rhode Island,534400,59900.0,31500.0,51500,154800,86700,77800,8800.0,47000,1052400,,2023
South Carolina,2308600,368600.0,131900.0,194900,709800,493100,402500,126700.0,469000,5205000,,2023
South Dakota,456700,68200.0,18600.0,27300,84500,76200,61800,19300.0,76400,889100,,2023
Tennessee,3271000,464600.0,165400.0,239000,978800,531400,543400,114200.0,644100,6951900,,2023
Texas,14112100,2104200.0,500100.0,779800,3532500,1530800,1860600,505900.0,4869500,29795500,,2023
Utah,2027200,307500.0,65000.0,63100,252700,172900,177100,32900.0,259100,3357600,,2023
Vermont,304000,37400.0,12500.0,27300,100700,68700,49100,2600.0,21200,623400,,2023
Virginia,4351600,436300.0,183400.0,197100,1047600,754500,532600,333000.0,536900,8373000,,2023
Washington,3991200,377700.0,209200.0,228300,1109700,602400,499900,127600.0,481600,7627500,,2023
West Virginia,759200,48600.0,49400.0,82400,317700,184800,149100,20500.0,101800,1713600,,2023
Wisconsin,3120900,312400.0,154700.0,192400,706000,514500,444800,46900.0,282900,5775600,,2023
Wyoming,271600,44400.0,14400.0,13200,55200,56200,44400,9300.0,59400,568000,,2023
Puerto Rico,737100,275900.0,36600.0,375100,1083400,137800,348500,15600.0,166900,3176900,,2023
